SESSIONID,CARPARKNUMBER,VEHICLETYPE,SESSIONSTART,SESSIONEND,TOTAL_CHARGE,DURATION,EFFECTIVE_CHARGE,LOT_NUMBER,LABEL_TYPE
0PL81-L-00055-20211004214441,PL81,C,4/10/2021 21:44,5/10/2021 8:36,0,652,0,55,1
0PL81-E-00001-20211004214725,PL81,C,4/10/2021 21:47,5/10/2021 4:56,0,429,0,61,1
0PL81-E-00001-20211004214901,PL81,C,4/10/2021 21:49,4/10/2021 21:54,0,5,0,120,1
0PL81-E-00001-20211004214916,PL81,C,4/10/2021 21:49,5/10/2021 15:15,0,1046,0,342,1
0PL81-L-00048-20211004214951,PL81,C,4/10/2021 21:49,5/10/2021 6:48,0,539,0,48,1
0PL81-L-00170-20211004215128,PL81,C,4/10/2021 21:51,5/10/2021 7:03,0,552,0,170,1
0PL81-E-00001-20211004215444,PL81,C,4/10/2021 21:54,5/10/2021 7:06,0,552,0,288,1
0PL81-L-00120-20211004215452,PL81,C,4/10/2021 21:54,5/10/2021 4:06,0,372,0,120,1
0PL81-E-00001-20211004215644,PL81,C,4/10/2021 21:56,6/10/2021 12:50,0,2334,0,315,1
0PL81-E-00001-20211004215854,PL81,C,4/10/2021 21:58,5/10/2021 6:07,0,489,0,471,1
0PL81-E-00001-20211004220024,PL81,C,4/10/2021 22:00,5/10/2021 9:32,0,692,0,212,1
0PL81-E-00001-20211004220348,PL81,C,4/10/2021 22:03,5/10/2021 4:01,0,358,0,108,1
0PL81-E-00001-20211004220356,PL81,C,4/10/2021 22:03,5/10/2021 6:38,0,515,0,353,1
0PL81-L-00146-20211004220441,PL81,C,4/10/2021 22:04,5/10/2021 8:18,0,614,0,146,1
0PL81-L-00145-20211004220441,PL81,C,4/10/2021 22:04,5/10/2021 11:18,0,794,0,145,1
0PL81-E-00001-20211004220623,PL81,C,4/10/2021 22:06,5/10/2021 7:17,0,551,0,330,1
0PL81-L-00030-20211004220813,PL81,C,4/10/2021 22:08,5/10/2021 5:25,0,437,0,30,1
0PL81-E-00001-20211004222730,PL81,C,4/10/2021 22:27,6/10/2021 8:03,0,2016,0,285,1
0PL81-E-00001-20211004223129,PL81,C,4/10/2021 22:31,5/10/2021 6:45,0,494,0,99,1
0PL81-L-00317-20211004223959,PL81,C,4/10/2021 22:39,4/10/2021 23:02,0,23,0,317,1
0PL81-E-00001-20211004224059,PL81,C,4/10/2021 22:40,5/10/2021 4:00,0,320,0,40,1
0PL81-E-00001-20211004224146,PL81,C,4/10/2021 22:41,5/10/2021 8:13,0,572,0,128,1
0PL81-E-00001-20211004224241,PL81,C,4/10/2021 22:42,5/10/2021 8:49,0,607,0,116,1
0PL81-L-00253-20211004224652,PL81,C,4/10/2021 22:46,5/10/2021 8:21,0,575,0,253,1
0PL81-L-00290-20211004224703,PL81,C,4/10/2021 22:47,4/10/2021 23:10,0,23,0,290,1
0PL81-E-00001-20211004225356,PL81,C,4/10/2021 22:53,5/10/2021 9:55,0,662,0,105,1
0PL81-L-00185-20211004225437,PL81,C,4/10/2021 22:54,5/10/2021 4:17,0,323,0,185,1
0PL81-E-00001-20211004230845,PL81,C,4/10/2021 23:08,5/10/2021 9:14,0,606,0,245,1
0PL81-E-00001-20211004231245,PL81,C,4/10/2021 23:12,5/10/2021 6:46,0,454,0,181,1
0PL81-L-00290-20211004231248,PL81,C,4/10/2021 23:12,4/10/2021 23:13,0,1,0,290,1
0PL81-E-00001-20211004231254,PL81,C,4/10/2021 23:12,5/10/2021 21:54,0,1362,0,346,1
0PL81-L-00290-20211004231949,PL81,C,4/10/2021 23:19,4/10/2021 23:21,0,2,0,290,1
0PL81-E-00001-20211004232020,PL81,C,4/10/2021 23:20,5/10/2021 14:31,0,911,0,316,1
0PL81-E-00001-20211004232345,PL81,C,4/10/2021 23:23,5/10/2021 7:09,0,466,0,223,1
0PL81-E-00001-20211004232350,PL81,C,4/10/2021 23:23,5/10/2021 9:12,0,589,0,114,1
0PL81-L-00290-20211004232848,PL81,C,4/10/2021 23:28,4/10/2021 23:29,0,1,0,290,1
0PL81-E-00001-20211004234003,PL81,C,4/10/2021 23:40,5/10/2021 13:15,0,815,0,184,1
0PL81-E-00001-20211004235930,PL81,C,4/10/2021 23:59,5/10/2021 4:01,0,242,0,180,1
0PL81-E-00001-20211005003720,PL81,C,5/10/2021 0:37,5/10/2021 9:23,0,526,0,297,1
0PL81-L-00290-20211005010646,PL81,C,5/10/2021 1:06,5/10/2021 1:09,0,3,0,290,1
0PL81-L-00290-20211005011221,PL81,C,5/10/2021 1:12,5/10/2021 4:00,0,168,0,290,1
0PL81-E-00001-20211005030053,PL81,C,5/10/2021 3:00,5/10/2021 3:02,0,2,0,68,1
0PL81-E-00001-20211005031034,PL81,C,5/10/2021 3:10,5/10/2021 7:01,0,231,0,159,1
0PL81-L-00154-20211005031410,PL81,C,5/10/2021 3:14,5/10/2021 3:15,0,1,0,154,1
0PL81-L-00154-20211005032842,PL81,C,5/10/2021 3:28,5/10/2021 7:03,0,215,0,154,1
0PL81-L-00289-20211005040038,PL81,C,5/10/2021 4:00,5/10/2021 7:08,0,188,0,289,1
0PL81-L-00097-20211005040056,PL81,C,5/10/2021 4:00,5/10/2021 8:14,0,254,0,97,1
0PL81-L-00032-20211005040058,PL81,C,5/10/2021 4:00,5/10/2021 8:28,0,268,0,32,1
0PL81-L-00339-20211005040115,PL81,C,5/10/2021 4:01,5/10/2021 18:34,0,873,0,339,1
0PL81-L-00035-20211005040116,PL81,C,5/10/2021 4:01,5/10/2021 8:55,0,294,0,35,1
0PL81-L-00188-20211005040117,PL81,C,5/10/2021 4:01,5/10/2021 4:01,0,0,0,188,1
0PL81-L-00083-20211005040118,PL81,C,5/10/2021 4:01,5/10/2021 8:58,0,297,0,83,1
0PL81-L-00040-20211005040122,PL81,C,5/10/2021 4:01,5/10/2021 4:03,0,2,0,40,1
0PL81-L-00098-20211005040137,PL81,C,5/10/2021 4:01,6/10/2021 10:52,0,1851,0,98,1
0PL81-L-00290-20211005040142,PL81,C,5/10/2021 4:01,5/10/2021 4:02,0,1,0,290,1
0PL81-L-00225-20211005040155,PL81,C,5/10/2021 4:01,5/10/2021 4:02,0,1,0,225,1
0PL81-L-00180-20211005040202,PL81,C,5/10/2021 4:02,5/10/2021 7:55,0,233,0,180,1
0PL81-L-00069-20211005040204,PL81,C,5/10/2021 4:02,5/10/2021 4:27,0,25,0,69,1
0PL81-L-00135-20211005040215,PL81,C,5/10/2021 4:02,5/10/2021 13:14,0,552,0,135,1
0PL81-L-00188-20211005040217,PL81,C,5/10/2021 4:02,5/10/2021 19:41,0,939,0,188,1
0PL81-L-00225-20211005040235,PL81,C,5/10/2021 4:02,5/10/2021 4:02,0,0,0,225,1
0PL81-L-00108-20211005040300,PL81,C,5/10/2021 4:03,5/10/2021 11:01,0,418,0,108,1
0PL81-L-00040-20211005040402,PL81,C,5/10/2021 4:04,5/10/2021 8:16,0,252,0,40,1
0PL81-L-00225-20211005040415,PL81,C,5/10/2021 4:04,5/10/2021 4:12,0,8,0,225,1
0PL81-L-00014-20211005040540,PL81,C,5/10/2021 4:05,5/10/2021 4:06,0,1,0,14,1
0PL81-L-00120-20211005040742,PL81,C,5/10/2021 4:07,5/10/2021 4:51,0,44,0,120,1
0PL81-L-00225-20211005041536,PL81,C,5/10/2021 4:15,5/10/2021 4:20,0,5,0,225,1
0PL81-L-00185-20211005042029,PL81,C,5/10/2021 4:20,5/10/2021 4:21,0,1,0,185,1
0PL81-L-00225-20211005042056,PL81,C,5/10/2021 4:20,5/10/2021 5:11,0,51,0,225,1
0PL81-L-00185-20211005042152,PL81,C,5/10/2021 4:21,5/10/2021 4:22,0,1,0,185,1
0PL81-L-00185-20211005042324,PL81,C,5/10/2021 4:23,5/10/2021 4:25,0,2,0,185,1
0PL81-L-00185-20211005042634,PL81,C,5/10/2021 4:26,5/10/2021 12:54,0,508,0,185,1
0PL81-L-00014-20211005042959,PL81,C,5/10/2021 4:29,5/10/2021 4:35,0,6,0,14,1
0PL81-L-00014-20211005045320,PL81,C,5/10/2021 4:53,5/10/2021 4:59,0,6,0,14,1
0PL81-L-00119-20211005045324,PL81,C,5/10/2021 4:53,5/10/2021 15:12,0,619,0,119,1
0PL81-L-00347-20211005050649,PL81,C,5/10/2021 5:06,5/10/2021 5:08,0,2,0,347,1
0PL81-L-00014-20211005050659,PL81,C,5/10/2021 5:06,5/10/2021 5:22,0,16,0,14,1
0PL81-L-00347-20211005050929,PL81,C,5/10/2021 5:09,5/10/2021 6:46,0,97,0,347,1
0PL81-L-00030-20211005052622,PL81,C,5/10/2021 5:26,5/10/2021 10:06,0,280,0,30,1
0PL81-E-00001-20211005055457,PL81,C,5/10/2021 5:54,5/10/2021 5:56,0,2,0,69,1
0PL81-L-00069-20211005055643,PL81,C,5/10/2021 5:56,5/10/2021 7:29,0,93,0,69,1
0PL81-L-00290-20211005061535,PL81,C,5/10/2021 6:15,5/10/2021 6:18,0,3,0,290,1
0PL81-L-00290-20211005061951,PL81,C,5/10/2021 6:19,5/10/2021 6:20,0,1,0,290,1
0PL81-L-00290-20211005062312,PL81,C,5/10/2021 6:23,5/10/2021 6:48,0,25,0,290,1
0PL81-E-00001-20211005064001,PL81,C,5/10/2021 6:40,5/10/2021 14:34,0,474,0,61,1
0PL81-E-00001-20211005064752,PL81,C,5/10/2021 6:47,5/10/2021 9:34,0,167,0,57,1
0PL81-L-00048-20211005064806,PL81,C,5/10/2021 6:48,5/10/2021 7:44,0,56,0,48,1
0PL81-L-00014-20211005064936,PL81,C,5/10/2021 6:49,5/10/2021 6:50,0,1,0,14,1
0PL81-L-00290-20211005065331,PL81,C,5/10/2021 6:53,5/10/2021 7:26,0,33,0,290,1
0PL81-L-00014-20211005065532,PL81,C,5/10/2021 6:55,5/10/2021 8:38,0,103,0,14,1
0PL81-E-00001-20211005190039,PL81,C,5/10/2021 19:00,5/10/2021 22:20,0,200,0,71,1
0PL81-L-00351-20211005190145,PL81,C,5/10/2021 19:01,6/10/2021 17:02,0,1321,0,351,1
0PL81-E-00001-20211005190244,PL81,C,5/10/2021 19:02,6/10/2021 9:15,0,853,0,114,1
0PL81-E-00001-20211005190301,PL81,C,5/10/2021 19:03,6/10/2021 6:33,0,690,0,45,1
0PL81-L-00343-20211005190328,PL81,C,5/10/2021 19:03,6/10/2021 1:52,0,409,0,343,1
0PL81-E-00001-20211005190718,PL81,C,5/10/2021 19:07,6/10/2021 8:55,0,828,0,88,1
0PL81-E-00001-20211005190729,PL81,C,5/10/2021 19:07,6/10/2021 7:36,0,749,0,21,1
0PL81-E-00001-20211005190806,PL81,C,5/10/2021 19:08,6/10/2021 7:36,0,748,0,291,1
0PL81-E-00001-20211005190821,PL81,C,5/10/2021 19:08,6/10/2021 6:12,0,664,0,5,1
0PL81-E-00001-20211005191033,PL81,C,5/10/2021 19:10,6/10/2021 7:21,0,731,0,211,1
0PL81-E-00001-20211005191037,PL81,C,5/10/2021 19:10,6/10/2021 7:19,0,729,0,316,1
0PL81-E-00001-20211005191222,PL81,C,5/10/2021 19:12,5/10/2021 19:48,0,36,0,48,1
0PL81-E-00001-20211005191351,PL81,C,5/10/2021 19:13,6/10/2021 8:13,0,780,0,361,1
0PL81-E-00001-20211005191556,PL81,C,5/10/2021 19:15,6/10/2021 12:02,0,1007,0,270,1
0PL81-E-00001-20211005191642,PL81,C,5/10/2021 19:16,6/10/2021 16:18,0,1262,0,109,1
0PL81-E-00001-20211005191924,PL81,C,5/10/2021 19:19,6/10/2021 7:00,0,701,0,149,1
0PL81-E-00001-20211005192249,PL81,C,5/10/2021 19:22,6/10/2021 1:52,0,390,0,342,1
0PL81-E-00001-20211005192256,PL81,C,5/10/2021 19:22,5/10/2021 19:26,0,4,0,89,1
0PL81-L-00024-20211005192541,PL81,C,5/10/2021 19:25,6/10/2021 5:52,0,627,0,24,1
0PL81-L-00139-20211005192727,PL81,C,5/10/2021 19:27,6/10/2021 8:15,0,768,0,139,1
0PL81-E-00001-20211005193030,PL81,C,5/10/2021 19:30,5/10/2021 22:56,0,206,0,50,1
0PL81-E-00001-20211005193818,PL81,C,5/10/2021 19:38,5/10/2021 19:38,0,0,0,74,1
